Latitude,Longitude,Time,Id
32.761950000000006,-96.95981,118,route 1,Along route
32.761950000000006,-96.956,119,route 1,Along route
32.76192,-96.95158,120,route 1,Along route
32.76196,-96.95032,121,route 1,Along route
32.76212,-96.94791000000001,122,route 1,Along route
32.762330000000006,-96.94622000000001,123,route 1,Along route
32.762660000000004,-96.94421000000001,124,route 1,Along route
32.76303,-96.94213,125,route 1,Along route
32.76321,-96.94115000000001,126,route 1,Along route
32.76359,-96.93906000000001,127,route 1,Along route
32.764230000000005,-96.93563,128,route 1,Along route
32.76466,-96.93327000000001,129,route 1,Along route
32.76485,-96.93212000000001,130,route 1,Along route
32.765040000000006,-96.9308,131,route 1,Along route
32.765150000000006,-96.92954,132,route 1,Along route
32.76538,-96.92734,133,route 1,Along route
32.765480000000004,-96.92593000000001,134,route 1,Along route
32.76574,-96.92293000000001,135,route 1,Along route
32.765950000000004,-96.92059,136,route 1,Along route
32.766000000000005,-96.91925,137,route 1,Along route
32.76608,-96.91583000000001,138,route 1,Along route
32.766110000000005,-96.91274000000001,139,route 1,Along route
32.76615,-96.9102,140,route 1,Along route
32.76617,-96.90799000000001,141,route 1,Along route
32.76621,-96.90643000000001,142,route 1,Along route
32.76623,-96.90584000000001,143,route 1,Along route
32.766290000000005,-96.90305000000001,144,route 1,Along route
32.76637,-96.8986,145,route 1,Along route
32.76644,-96.89641,146,route 1,Along route
32.766510000000004,-96.89572000000001,147,route 1,Along route
32.766650000000006,-96.89457,148,route 1,Along route
32.7674,-96.89026000000001,149,route 1,Along route
32.767500000000005,-96.88957,150,route 1,Along route
32.767590000000006,-96.88877000000001,151,route 1,Along route
32.76764,-96.88808,152,route 1,Along route
32.76767,-96.88711,153,route 1,Along route
32.76755,-96.88207000000001,154,route 1,Along route
32.76747,-96.87793,155,route 1,Along route
32.767340000000004,-96.87393,156,route 1,Along route
32.76731,-96.87305,157,route 1,Along route
32.76724,-96.87097000000001,158,route 1,Along route
32.767010000000006,-96.86325000000001,159,route 1,Along route
32.76699,-96.86252,160,route 1,Along route
32.766920000000006,-96.86099,161,route 1,Along route
32.766830000000006,-96.85996,162,route 1,Along route
32.766740000000006,-96.8593,163,route 1,Along route
32.76659,-96.85835,164,route 1,Along route
32.76644,-96.85762000000001,165,route 1,Along route
32.766400000000004,-96.85741,166,route 1,Along route
32.766200000000005,-96.85668000000001,167,route 1,Along route
32.76531,-96.85361,168,route 1,Along route
32.76449,-96.85078000000001,169,route 1,Along route
32.764340000000004,-96.85028000000001,170,route 1,Along route
32.764070000000004,-96.84926,171,route 1,Along route
32.76388,-96.84823,172,route 1,Along route
32.76379,-96.84743,173,route 1,Along route
32.763760000000005,-96.84666000000001,174,route 1,Along route
32.76379,-96.84588000000001,175,route 1,Along route
32.76386,-96.84515,176,route 1,Along route
32.76402,-96.84433000000001,177,route 1,Along route
32.764210000000006,-96.84357000000001,178,route 1,Along route
32.76449,-96.84273,179,route 1,Along route
32.764860000000006,-96.84190000000001,180,route 1,Along route
32.76625,-96.83929,181,route 1,Along route
32.76648,-96.8388,182,route 1,Along route
32.7668,-96.83798,183,route 1,Along route
32.76697,-96.83739000000001,184,route 1,Along route
32.76718,-96.83644000000001,185,route 1,Along route
32.76729,-96.83577000000001,186,route 1,Along route
32.767390000000006,-96.83495,187,route 1,Along route
32.767900000000004,-96.83040000000001,188,route 1,Along route
32.76827,-96.82755,189,route 1,Along route
32.76851,-96.82595,190,route 1,Along route
32.76888,-96.82402,191,route 1,Along route
32.769110000000005,-96.82285,192,route 1,Along route
32.76962,-96.82029000000001,193,route 1,Along route
32.77062,-96.81511,194,route 1,Along route
32.77078,-96.81393000000001,195,route 1,Along route
32.77087,-96.81182000000001,196,route 1,Along route
32.77089,-96.81150000000001,197,route 1,Along route
32.77091,-96.81077,198,route 1,Along route
32.77089,-96.81048000000001,199,route 1,Along route
